"","Country","Wheat_Production_Mt"
"243","The former Yugoslav Republic of Macedonia",0.327644245415513
"244","Timor-Leste",0
"245","Togo",0
"246","Tokelau",0
"247","Tonga",0
"248","Trinidad and Tobago",0
"249","Tromelin Island",0
"250","Tunisia",1.51847275226166
"251","Turkey",20.8322372879522
"252","Turkmenistan",2.889364946336
"253","Turks and Caicos islands",0
"254","Tuvalu",0
"255","U.K. of Great Britain and Northern Ireland",14.9830870019346
"256","Uganda",0.015685191952798
"257","Ukraine",16.7240192532369
"258","United Arab Emirates",5.11791994810551e-05
"259","United Republic of Tanzania",0.0930084412880632
"260","United States of America",55.1267934162578
"261","United States Virgin Islands",0
"262","Uruguay",0.523216416352128
"263","Uzbekistan",5.83504570906537
"264","Vanuatu",0
"265","Venezuela",0.000418032171481286
"266","Viet Nam",6.7793596372212e-06
"267","Wake Island",0
"268","Wallis and Futuna",0
"269","West Bank",0
"270","Western Sahara",0
"271","Yemen",0.121768293913085
"272","Zambia",0.104556314856296
"273","Zimbabwe",0.239356056211591
